"ADDRESS_ZIP_CODE","AGG_NUM_VEHICLES","AVG_HOUSEHOLD_SIZE","MED_GROSS_RENT","MED_HOUSING_COST","MED_INCOME","MED_YEAR_BUILT","MONTHLY_OWNER_COSTS","NO_INTERNET","TOTAL_POP"
"13339",2175,3.06,758,784,51506,1944,1650,321,6281
"13340",3235,2.47,778,848,62206,1960,2572,316,7651
"13342",80,3.08,NA,950,63958,1979,83,0,271
"13343",605,2.42,689,750,62969,1975,547,92,1561
"13345",65,2.2,NA,779,92778,1966,52,3,141
"13346",1490,2.09,933,984,54966,1959,1449,212,6273
"13348",600,2.59,815,998,71468,1954,488,73,1509
"13350",3545,2.15,733,731,54792,1947,2561,426,9748
"13352",NA,22,NA,NA,NA,NA,1,0,22
"13353",NA,1.79,NA,NA,NA,1974,14,0,25
"13354",1265,2.82,805,969,78388,1980,1086,143,3412
"13355",570,3.1,776,1153,62917,1990,304,41,1095
"13357",3835,2.4,655,705,60908,0,2892,368,10354
"13360",105,3.95,NA,1042,92857,1957,37,0,158
"13361",255,2.87,733,910,72083,1955,196,63,704
"13363",1040,2.68,1046,1060,81357,1988,817,86,2329
"13364",150,2.25,NA,863,70288,0,92,22,241
"13365",2865,2.63,671,722,54940,0,2338,424,8204
"13367",3275,2.43,828,852,59655,1965,2716,430,8889
"13368",470,2.55,643,656,50880,1967,420,74,1196
"13402",455,2.13,NA,577,66019,1953,441,58,1181
"13403",1930,2.56,1034,1051,95700,1974,1390,131,7110
"13404",45,2.34,NA,756,45000,1945,34,21,117
"13406",190,2.81,NA,918,84861,1952,128,11,418
"13407",1945,2.55,700,719,65434,1951,1580,271,5163
"13408",870,2.45,737,924,55556,1970,602,125,3423
"13409",900,2.65,833,831,61026,1964,721,90,2106
"13410",185,1.99,589,577,42500,0,160,107,521
"13411",1070,2.39,652,802,52500,1959,918,162,2827
"13413",6960,2.29,1045,1061,84262,1963,4918,583,16169
"13415",50,2.13,NA,1019,52250,1968,30,0,64
"13416",820,2.59,669,726,64000,1965,735,130,2299
"13417",1270,2.02,734,762,48260,1958,741,181,3293
"13418",75,3.27,NA,NA,NA,1962,30,13,196
"13420",330,2.05,NA,694,95700,1966,393,50,1083
